sbeeID,TotalFlowerNumber,FlowerRichness
102,906220,35
105,71395,35
106,935330,38
12,596155,33
120,238885,29
121,8130,13
123,178215,18
124.1,72425,23
129,242635,23
130,231200,28
136.2,1812370,33
143,1014230,49
144,259655,32
145,554970,38
146,43285,13
148,562965,31
149,13690,26
15,132357,30
151,315315,20
152,9593,11
154,92835,17
157,1365830,39
158,8250,21
166,157375,45
17,22735,25
170,1064420,37
171,126000,19
178,79010,23
179,400630,33
18,659095,25
180,95970,33
183,122095,21
185,8930,21
186,289465,42
188,862155,47
189,169416,14
19,185110,20
191,302025,44
198,537515,46
20,56675,26
200,209685,32
203,54445,16
208,82145,22
210,368050,43
215,242520,41
218,142215,22
221,113335,34
222,261360,31
23,29700,27
234,2627200,44
235,123540,27
240,52330,35
241,382290,27
242,95600,20
248,124335,29
25,387225,28
250,182545,18
252,200180,24
256,148110,32
258,307749,29
26,287030,16
260,1110,13
265,29305,14
267,3950,14
27,144075,31
274,29570,22
278,0,10
285,0,9
286,5171,10
290,0,12
30,281105,37
300,72910,35
302,64345,28
305,279969,33
306,25725,20
308,15395,8
31,23635,17
310,0,7
311,2045,7
312,48600,28
315,61805,20
317,40917,21
34,150817,26
35,117295,24
38,460370,42
42,15378,21
43,90940,15
47,1053370,49
53,286830,30
55,613730,29
56,25780,16
57,49685,25
61,198420,42
62,1147750,28
64,981240,20
72,542615,37
74,105370,24
76,52400,19
78,2131555,48
82,478355,34
84,6826,25
86,1806085,36
91,453291,26
94,135210,22
97,6270,22